GP_Index	Coord_X	Coord_Y	Eps_xx	Eps_yy	Eps_zz	Eps_yz	Eps_xz	Eps_xy	Sig_xx	Sig_yy	Sig_zz	Sig_yz	Sig_xz	Sig_xy
90	1.408253e+01	2.306875e+01	2.316875e-01	-1.860213e-01	-1.219779e-02	-7.914711e-03	-2.039515e-03	-1.978897e-03	3.128847e+03	-2.128229e+02	4.064980e+01	-2.668173e+01	-3.180946e+00	-1.207876e+03
91	1.379088e+01	2.329375e+01	2.339375e-01	-2.129406e-01	-1.214636e-02	1.154854e-02	-1.441555e-03	-2.144178e-03	2.467950e+03	-1.107075e+03	-3.901234e+01	4.114065e+01	-1.081971e+01	-5.866942e+02
92	1.366589e+01	2.312500e+01	2.322500e-01	-2.129406e-01	-1.214636e-02	1.154854e-02	-1.441555e-03	-2.144178e-03	2.407712e+03	-1.153813e+03	-4.449848e+01	4.114065e+01	-1.081971e+01	-5.438847e+02
93	1.366589e+01	2.329375e+01	2.339375e-01	-2.129406e-01	-1.214636e-02	1.154854e-02	-1.441555e-03	-2.144178e-03	2.467950e+03	-1.107075e+03	-3.901234e+01	4.114065e+01	-1.081971e+01	-5.866942e+02
94	1.370756e+01	2.306875e+01	2.316875e-01	-1.860900e-01	-1.216784e-02	-8.310761e-03	-1.717718e-03	-1.771337e-03	3.121775e+03	-2.204447e+02	4.059233e+01	-2.822880e+01	-1.856633e+00	-1.200344e+03
95	1.383255e+01	2.323750e+01	2.333750e-01	-1.860900e-01	-1.216784e-02	-8.310761e-03	-1.717718e-03	-1.771337e-03	3.182013e+03	-1.737067e+02	4.607847e+01	-2.822880e+01	-1.856633e+00	-1.243154e+03
96	1.383255e+01	2.306875e+01	2.316875e-01	-1.860900e-01	-1.216784e-02	-8.310761e-03	-1.717718e-03	-1.771337e-03	3.121775e+03	-2.204447e+02	4.059233e+01	-2.822880e+01	-1.856633e+00	-1.200344e+03
97	1.354090e+01	2.329375e+01	2.339375e-01	-2.130132e-01	-1.213115e-02	1.125945e-02	-1.203834e-03	-1.903756e-03	2.459889e+03	-1.115717e+03	-3.922983e+01	4.000998e+01	-9.843142e+00	-5.781379e+02
98	1.341591e+01	2.312500e+01	2.322500e-01	-2.130132e-01	-1.213115e-02	1.125945e-02	-1.203834e-03	-1.903756e-03	2.399651e+03	-1.162455e+03	-4.471598e+01	4.000998e+01	-9.843142e+00	-5.353284e+02
99	1.341591e+01	2.329375e+01	2.339375e-01	-2.130132e-01	-1.213115e-02	1.125945e-02	-1.203834e-03	-1.903756e-03	2.459889e+03	-1.115717e+03	-3.922983e+01	4.000998e+01	-9.843142e+00	-5.781379e+02
100	1.345757e+01	2.306875e+01	2.316875e-01	-1.861371e-01	-1.214636e-02	-8.627142e-03	-1.441555e-03	-1.582814e-03	3.115758e+03	-2.268383e+02	4.053898e+01	-2.947422e+01	-7.318701e-01	-1.193889e+03
101	1.358256e+01	2.323750e+01	2.333750e-01	-1.861371e-01	-1.214636e-02	-8.627142e-03	-1.441555e-03	-1.582814e-03	3.175996e+03	-1.801003e+02	4.602512e+01	-2.947422e+01	-7.318701e-01	-1.236699e+03
102	1.358256e+01	2.306875e+01	2.316875e-01	-1.861371e-01	-1.214636e-02	-8.627142e-03	-1.441555e-03	-1.582814e-03	3.115758e+03	-2.268383e+02	4.053898e+01	-2.947422e+01	-7.318701e-01	-1.193889e+03
103	1.329091e+01	2.329375e+01	2.339375e-01	-2.130620e-01	-1.212066e-02	1.102208e-02	-9.982847e-04	-1.693119e-03	2.453228e+03	-1.122768e+03	-3.939754e+01	3.907644e+01	-9.005039e+00	-5.710163e+02
104	1.316592e+01	2.312500e+01	2.322500e-01	-2.130620e-01	-1.212066e-02	1.102208e-02	-9.982847e-04	-1.693119e-03	2.392990e+03	-1.169506e+03	-4.488368e+01	3.907644e+01	-9.005039e+00	-5.282067e+02
105	1.316592e+01	2.329375e+01	2.339375e-01	-2.130620e-01	-1.212066e-02	1.102208e-02	-9.982847e-04	-1.693119e-03	2.453228e+03	-1.122768e+03	-3.939754e+01	3.907644e+01	-9.005039e+00	-5.710163e+02
106	1.320758e+01	2.306875e+01	2.316875e-01	-1.861688e-01	-1.213115e-02	-8.883557e-03	-1.203834e-03	-1.415612e-03	3.110689e+03	-2.321615e+02	4.049019e+01	-3.049053e+01	2.283600e-01	-1.188418e+03
107	1.333258e+01	2.323750e+01	2.333750e-01	-1.861688e-01	-1.213115e-02	-8.883557e-03	-1.203834e-03	-1.415612e-03	3.170927e+03	-1.854235e+02	4.597633e+01	-3.049053e+01	2.283600e-01	-1.231228e+03
108	1.333258e+01	2.306875e+01	2.316875e-01	-1.861688e-01	-1.213115e-02	-8.883557e-03	-1.203834e-03	-1.415612e-03	3.110689e+03	-2.321615e+02	4.049019e+01	-3.049053e+01	2.283600e-01	-1.188418e+03
109	1.304093e+01	2.329375e+01	2.339375e-01	-2.130947e-01	-1.211375e-02	1.082592e-02	-8.195581e-04	-1.511982e-03	2.447750e+03	-1.128508e+03	-3.953042e+01	3.830050e+01	-8.281414e+00	-5.651260e+02
